ID_servicio,Fecha_solicitud,Ciudad,Tipo_servicio,Canal,Tecnico_id,Antiguedad_tecnico_meses,Tiempo_respuesta_horas,Duracion_servicio_min,Costo_repuestos,Valor_servicio,Reproceso,Satisfaccion,Estado
S110336,2025-11-17,Santa Marta,Reparación,App,T051,36.0,6.3,70.0,138700.0,235000.0,0,4.0,Completado
S112626,2026-02-21,Sincelejo,Reparación,Call center,T085,9.0,35.5,79.0,34400.0,227000.0,0,3.0,Completado
S114901,2026-06-14,Barranquilla,Mantenimiento,Presencial,T068,79.0,27.5,40.0,11400.0,74000.0,0,3.0,Completado
S111406,2025-12-25,Barranquilla,Instalación,App,T030,66.0,14.0,91.0,60800.0,310000.0,0,4.0,Completado
S108965,2025-09-08,Montería,Garantía,Call center,T088,1.0,37.5,118.0,39100.0,0.0,0,3.0,Completado
S105553,2025-03-22,Cartagena,Instalación,App,T007,20.0,22.7,131.0,6100.0,271000.0,0,4.0,Completado
S108000,2025-07-19,Barranquilla,Instalación,App,T053,20.0,38.7,203.0,17800.0,391000.0,0,4.0,Completado
S113990,2026-04-29,Valledupar,Reparación,App,T060,62.0,8.9,77.0,31700.0,187000.0,0,5.0,Completado
S103368,2024-12-12,Santa Marta,Reparación,Presencial,T067,61.0,,86.0,27900.0,181000.0,0,4.0,Completado
S100941,2024-08-14,Barranquilla,Mantenimiento,Web,T021,73.0,18.8,58.0,8100.0,123000.0,0,4.0,Completado
S100309,2024-07-13,Cartagena,Instalación,App,T039,56.0,16.4,129.0,46400.0,380000.0,0,4.0,Completado
S107818,2025-07-11,Barranquilla,Reparación,Presencial,T032,52.0,20.6,67.0,91500.0,152000.0,0,4.0,Completado
S104623,2025-02-02,Cartagena,Instalación,App,T048,47.0,22.6,167.0,33900.0,248000.0,0,4.0,Completado
S100451,2024-07-20,Valledupar,Reparación,Presencial,T024,20.0,22.1,135.0,10700.0,186000.0,0,4.0,Completado
S112013,2026-01-21,Santa Marta,Reparación,Web,T069,30.0,15.7,37.0,9100.0,152000.0,0,4.0,Completado
S111802,2026-01-12,Santa Marta,Garantía,Call center,T023,34.0,18.8,149.0,26700.0,0.0,0,5.0,Completado
S108980,2025-09-09,Sincelejo,Mantenimiento,Call center,T072,12.0,30.1,66.0,27700.0,81000.0,0,3.0,Completado
S114549,2026-05-31,Barranquilla,Instalación,App,T016,71.0,20.2,156.0,155900.0,380000.0,0,4.0,Completado
S108566,2025-08-15,Sincelejo,Reparación,Call center,T022,77.0,10.6,97.0,36900.0,126000.0,0,5.0,Completado
S109447,2025-10-03,Santa Marta,Reparación,App,T058,55.0,3.9,116.0,62400.0,241000.0,0,5.0,Completado
S106654,2025-05-21,Santa Marta,Reparación,Presencial,T071,2.0,14.0,118.0,27600.0,181000.0,0,5.0,Completado
S101195,2024-08-27,Santa Marta,Reparación,Presencial,T038,49.0,12.3,83.0,163200.0,168000.0,0,4.0,Completado
S108724,2025-08-25,Barranquilla,Reparación,Call center,T021,86.0,13.6,115.0,210500.0,214000.0,0,4.0,Completado
S110118,2025-11-05,Santa Marta,Instalación,Call center,T065,72.0,6.7,124.0,70300.0,370000.0,0,4.0,Completado
S109115,2025-09-16,Cartagena,Reparación,App,T047,40.0,19.8,67.0,139700.0,235000.0,0,3.0,Cancelado
S104520,2025-01-28,Barranquilla,Instalación,App,T043,19.0,12.5,204.0,79800.0,338000.0,0,4.0,Completado
S107137,2025-06-12,Valledupar,Mantenimiento,Call center,T024,31.0,,65.0,8900.0,89000.0,0,4.0,Completado
S109284,2025-09-25,Santa Marta,Instalación,Web,T071,6.0,8.0,152.0,48000.0,322000.0,0,5.0,Completado
S105464,2025-03-18,Montería,Reparación,Web,T049,40.0,37.5,115.0,109400.0,202000.0,0,4.0,Completado
S113467,2026-04-04,Cartagena,Reparación,App,T047,47.0,17.9,116.0,43200.0,189000.0,0,3.0,Completado
S110019,2025-10-31,Valledupar,Reparación,App,T060,56.0,55.5,118.0,80800.0,201000.0,0,3.0,Completado
S109950,2025-10-28,Cartagena,Mantenimiento,App,T073,7.0,,98.0,75800.0,118000.0,0,4.0,Completado
S107492,2025-06-28,Montería,Reparación,App,T049,44.0,24.7,128.0,47400.0,230000.0,0,4.0,Completado
S112393,2026-02-09,Cartagena,Instalación,Web,T082,4.0,39.6,162.0,52000.0,360000.0,1,2.0,Completado
S111050,2025-12-15,Montería,Instalación,Web,T033,89.0,23.6,164.0,50000.0,300000.0,0,4.0,Completado
S107765,2025-07-09,Santa Marta,Instalación,App,T059,44.0,12.5,109.0,26400.0,254000.0,0,4.0,Completado
S108200,2025-07-29,Santa Marta,Reparación,App,T094,4.0,12.0,135.0,89900.0,170000.0,0,5.0,Completado
S104519,2025-01-28,Santa Marta,Reparación,Presencial,T034,47.0,22.9,100.0,99200.0,136000.0,1,3.0,Reprogramado
S109887,2025-10-25,Cartagena,Garantía,App,T073,7.0,16.6,142.0,57700.0,0.0,0,5.0,Completado
S108209,2025-07-30,Sincelejo,Mantenimiento,App,T050,85.0,15.7,87.0,8900.0,87000.0,0,4.0,Completado
S108683,2025-08-22,Valledupar,Instalación,App,T087,5.0,25.3,194.0,145500.0,342000.0,1,,Completado
S115073,2026-06-21,Sincelejo,Mantenimiento,Web,T072,21.0,27.5,81.0,27400.0,87000.0,0,4.0,Completado
S103018,2024-12-02,Valledupar,Instalación,Call center,T062,21.0,15.0,78.0,73200.0,355000.0,0,4.0,Completado
S107084,2025-06-10,Barranquilla,Instalación,App,T104,5.0,18.3,197.0,94900.0,310000.0,1,3.0,Completado
S101251,2024-08-30,Santa Marta,Reparación,App,T058,42.0,10.1,48.0,17500.0,125000.0,0,5.0,Completado
S109170,2025-09-18,Sincelejo,Reparación,Web,T072,12.0,4.8,146.0,116300.0,174000.0,0,4.0,Completado
S104297,2025-01-16,Sincelejo,Instalación,App,T022,70.0,9.2,139.0,109100.0,367000.0,0,4.0,Completado
S102605,2024-11-12,Santa Marta,Reparación,App,T058,44.0,10.5,87.0,115500.0,217000.0,0,5.0,Completado
S110179,2025-11-09,Cartagena,Reparación,Presencial,T037,24.0,17.8,121.0,166300.0,195000.0,0,4.0,Completado
S104806,2025-02-12,Cartagena,Reparación,Presencial,T048,47.0,13.8,112.0,108800.0,171000.0,0,,Reprogramado
S102474,2024-11-05,Barranquilla,Instalación,App,T013,16.0,17.3,55.0,80400.0,369000.0,0,5.0,Cancelado
S100049,2024-07-02,Santa Marta,Reparación,Web,T069,12.0,8.7,117.0,32900.0,258000.0,0,4.0,Completado
S109049,2025-09-12,Santa Marta,Garantía,App,T034,54.0,18.6,151.0,90900.0,0.0,0,5.0,Completado
S109343,2025-09-29,Cartagena,Instalación,Web,T037,23.0,7.4,,267000.0,304000.0,0,5.0,Completado
S105681,2025-03-29,Cartagena,Instalación,App,T035,29.0,17.8,204.0,54700.0,334000.0,0,5.0,Completado
S110772,2025-12-05,Montería,Mantenimiento,Call center,T075,3.0,71.4,70.0,3500.0,94000.0,0,2.0,Reprogramado
S106079,2025-04-19,Barranquilla,Garantía,App,T066,81.0,33.2,116.0,79100.0,0.0,0,4.0,Completado
S112709,2026-02-26,Valledupar,Reparación,Web,T062,36.0,23.2,79.0,89000.0,232000.0,0,4.0,Completado
S113723,2026-04-16,Santa Marta,Reparación,Call center,T010,77.0,54.9,50.0,78900.0,196000.0,0,3.0,Completado
S113116,2026-03-18,Sincelejo,Mantenimiento,Presencial,T092,5.0,8.5,88.0,23700.0,94000.0,0,5.0,Completado
S103515,2024-12-17,Santa Marta,Reparación,Call center,T034,45.0,16.3,105.0,45900.0,210000.0,0,4.0,Completado
S113277,2026-03-25,Sincelejo,Garantía,App,T063,61.0,10.6,120.0,93800.0,0.0,0,5.0,Completado
S108217,2025-07-30,Cartagena,Reparación,App,T017,85.0,29.0,102.0,5200.0,155000.0,0,5.0,Cancelado
S109183,2025-09-19,Cartagena,Reparación,Web,T037,22.0,18.2,45.0,120600.0,173000.0,0,4.0,Completado
S114576,2026-06-01,Santa Marta,Instalación,Call center,T067,79.0,18.5,129.0,137600.0,365000.0,0,4.0,Completado
S108545,2025-08-15,Barranquilla,Reparación,App,T057,77.0,9.3,78.0,24200.0,223000.0,0,4.0,Completado
S114671,2026-06-04,Cartagena,Mantenimiento,Call center,T039,79.0,28.6,74.0,10000.0,125000.0,0,4.0,Completado
S103741,2024-12-24,Valledupar,Mantenimiento,Web,T024,25.0,9.2,61.0,41000.0,50000.0,0,5.0,Completado
S112039,2026-01-22,Sincelejo,Mantenimiento,Call center,T022,83.0,8.7,42.0,17100.0,85000.0,0,5.0,Reprogramado
S101015,2024-08-17,Santa Marta,Reparación,Web,T019,21.0,11.2,88.0,197800.0,114000.0,0,5.0,Reprogramado
S112687,2026-02-25,Montería,Reparación,Call center,T033,92.0,34.4,85.0,194700.0,166000.0,0,4.0,Completado
S110344,2025-11-17,Cartagena,Reparación,Web,T105,10.0,14.5,56.0,72200.0,194000.0,1,3.0,Completado
S109193,2025-09-19,Santa Marta,Instalación,Web,T065,70.0,26.1,84.0,81100.0,259000.0,0,4.0,Completado
S112099,2026-01-26,Sincelejo,Instalación,App,T092,3.0,8.2,116.0,82000.0,309000.0,0,5.0,Completado
S107941,2025-07-17,Santa Marta,Instalación,Call center,T065,68.0,16.3,133.0,20600.0,300000.0,0,4.0,Completado
S102358,2024-10-29,Montería,Instalación,App,T070,30.0,43.9,178.0,121000.0,250000.0,0,3.0,Completado
S103176,2024-12-06,Santa Marta,Reparación,Web,T009,45.0,12.7,84.0,33100.0,171000.0,0,5.0,Completado
S103056,2024-12-03,Sincelejo,Instalación,Call center,T004,25.0,18.8,102.0,58200.0,389000.0,0,4.0,Completado
S109029,2025-09-11,Valledupar,Reparación,Call center,T052,26.0,6.5,93.0,18600.0,197000.0,1,3.0,Completado
S112260,2026-02-03,Barranquilla,Reparación,App,T045,35.0,25.1,49.0,51100.0,184000.0,0,4.0,Completado
S106524,2025-05-14,Barranquilla,Mantenimiento,Call center,T018,36.0,13.7,76.0,39400.0,108000.0,0,5.0,Completado
S110612,2025-11-29,Sincelejo,Instalación,App,T063,57.0,16.7,158.0,313700.0,304000.0,1,4.0,Completado
S103203,2024-12-07,Montería,Reparación,Web,T046,25.0,51.7,69.0,150700.0,156000.0,0,3.0,Completado
S100887,2024-08-11,Santa Marta,Instalación,App,T059,33.0,23.1,194.0,19300.0,373000.0,0,4.0,Completado
S100476,2024-07-22,Cartagena,Reparación,Web,T003,48.0,4.1,93.0,83600.0,222000.0,0,5.0,Completado
S114265,2026-05-15,Montería,Mantenimiento,App,T006,34.0,49.4,78.0,27300.0,84000.0,0,3.0,Completado
S107458,2025-06-27,Cartagena,Instalación,Call center,T039,68.0,10.5,174.0,74000.0,308000.0,0,5.0,Completado
S109535,2025-10-08,Cartagena,Mantenimiento,App,T028,63.0,11.3,82.0,8100.0,86000.0,0,4.0,Cancelado
S110227,2025-11-11,Santa Marta,Reparación,Call center,T067,72.0,12.6,95.0,142400.0,188000.0,0,5.0,Completado
S109199,2025-09-19,Cartagena,Mantenimiento,App,T027,40.0,13.6,46.0,100.0,125000.0,0,5.0,Cancelado
S104931,2025-02-18,Barranquilla,Instalación,App,T045,23.0,11.5,211.0,45600.0,244000.0,0,4.0,Completado
S102549,2024-11-08,Barranquilla,Instalación,Call center,T018,30.0,23.4,202.0,58300.0,311000.0,0,4.0,Cancelado
S108068,2025-07-23,Barranquilla,Mantenimiento,App,T032,52.0,9.0,71.0,14800.0,93000.0,0,4.0,Completado
S108649,2025-08-20,Cartagena,Reparación,App,T027,39.0,14.3,81.0,93400.0,143000.0,0,4.0,Completado
S106595,2025-05-17,Cartagena,Reparación,Web,T015,26.0,17.1,118.0,37400.0,193000.0,0,4.0,Completado
S114108,2026-05-07,Montería,Instalación,Call center,T055,30.0,27.2,120.0,24800.0,336000.0,0,4.0,Cancelado
S106561,2025-05-16,Santa Marta,Garantía,App,T058,50.0,8.6,93.0,152000.0,0.0,1,3.0,Completado
S106328,2025-05-02,Santa Marta,Reparación,App,T042,30.0,9.5,65.0,252900.0,168000.0,0,,Completado
S105039,2025-02-24,Barranquilla,Instalación,App,T104,2.0,8.0,117.0,56600.0,338000.0,0,,Completado
S112718,2026-02-26,Barranquilla,Mantenimiento,Call center,T068,76.0,7.0,53.0,66600.0,85000.0,0,,Completado
S100487,2024-07-22,Barranquilla,Reparación,Web,T030,48.0,19.6,77.0,23400.0,193000.0,0,4.0,Completado
S101740,2024-09-26,Santa Marta,Reparación,Call center,T059,34.0,11.6,123.0,144900.0,172000.0,0,5.0,Cancelado
S115087,2026-06-22,Cartagena,Reparación,Call center,T047,50.0,12.1,108.0,212400.0,186000.0,0,,Completado
S103415,2024-12-13,Santa Marta,Reparación,Call center,T014,21.0,5.9,77.0,,286000.0,0,5.0,Completado
S101360,2024-09-04,Montería,Reparación,Call center,T070,28.0,35.0,115.0,14700.0,126000.0,0,4.0,Cancelado
S107970,2025-07-18,Santa Marta,Instalación,Call center,T031,44.0,19.6,150.0,63400.0,364000.0,0,5.0,Reprogramado
S104082,2025-01-06,Cartagena,Garantía,Call center,T015,22.0,12.2,78.0,90100.0,0.0,0,4.0,Completado
S108291,2025-08-02,Santa Marta,Instalación,Call center,T019,33.0,41.7,84.0,108300.0,325000.0,0,4.0,Completado
S103008,2024-12-02,Montería,Mantenimiento,Presencial,T033,77.0,44.7,74.0,2400.0,104000.0,0,4.0,Completado
S104320,2025-01-17,Valledupar,Mantenimiento,Presencial,T005,54.0,6.5,49.0,2000.0,66000.0,0,5.0,Completado
S110401,2025-11-19,Sincelejo,Reparación,App,T092,1.0,22.0,94.0,134200.0,122000.0,0,5.0,Completado
S105006,2025-02-21,Cartagena,Mantenimiento,App,T002,55.0,17.7,53.0,700.0,79000.0,0,5.0,Cancelado
S111680,2026-01-06,Santa Marta,Garantía,Web,T019,38.0,10.5,68.0,58700.0,0.0,0,5.0,Cancelado
S107802,2025-07-11,Cartagena,Reparación,Presencial,T002,60.0,10.5,56.0,57600.0,224000.0,0,5.0,Completado
S104791,2025-02-11,Cartagena,Reparación,App,T017,79.0,21.6,88.0,89300.0,210000.0,0,4.0,Completado
S114503,2026-05-28,Cartagena,Instalación,App,T048,63.0,38.6,199.0,10300.0,227000.0,0,4.0,Completado
S110988,2025-12-11,Barranquilla,Reparación,App,T030,65.0,10.4,77.0,51100.0,188000.0,0,5.0,Completado
S107398,2025-06-25,Cartagena,Instalación,Call center,T020,37.0,41.6,111.0,247300.0,362000.0,0,4.0,Completado
S105038,2025-02-24,Barranquilla,Instalación,Call center,T016,55.0,38.1,191.0,75500.0,375000.0,0,3.0,Completado
S112143,2026-01-28,Sincelejo,Reparación,App,T085,8.0,6.8,91.0,231200.0,156000.0,1,2.0,Completado
S105484,2025-03-19,Cartagena,Instalación,Web,T003,56.0,15.1,67.0,74100.0,259000.0,0,4.0,Completado
S104158,2025-01-10,Barranquilla,Mantenimiento,App,T021,78.0,42.9,71.0,19900.0,102000.0,0,,Completado
S101711,2024-09-25,Santa Marta,Instalación,App,T065,58.0,4.3,157.0,1972805.0,376000.0,0,5.0,Completado
S107007,2025-06-06,Santa Marta,Instalación,App,T038,59.0,5.8,104.0,33200.0,243000.0,0,5.0,Completado
S104154,2025-01-09,Santa Marta,Instalación,Call center,T019,26.0,15.2,112.0,89100.0,293000.0,0,5.0,Completado
S106479,2025-05-12,Montería,Reparación,Presencial,T033,82.0,43.6,64.0,163700.0,181000.0,0,4.0,Completado
S108480,2025-08-12,Santa Marta,Instalación,Call center,T058,53.0,29.4,82.0,102500.0,308000.0,0,5.0,Completado
S114116,2026-05-07,Santa Marta,Instalación,App,T009,62.0,8.2,121.0,72900.0,346000.0,0,5.0,Completado
S111298,2025-12-22,Cartagena,Reparación,Web,T082,2.0,20.3,106.0,37100.0,204000.0,1,3.0,Completado
